tag,hardneg_added,train_size,train_label_counts,internal_known_accept_rate,internal_known_accuracy_after_reject,external_known_unknown_rate,external_known_benign_rate,external_known_command_exec_rate,external_known_suspicious_path_probe_rate,external_known_label_counts,external_unknown_unknown_rate,external_unknown_benign_rate,external_unknown_command_exec_rate,external_unknown_suspicious_path_probe_rate,external_unknown_label_counts
hardneg60,60,251,"{""benign"": 200, ""suspicious_path_probe"": 37, ""command_exec"": 14}",0.9215686274509803,1.0,0.9357777777777778,0.06422222222222222,0.0,0.0,"{""unknown"": 33688, ""benign"": 2312}",0.8570915619389587,0.14274885298224615,0.0,0.00015958507879513265,"{""unknown"": 21483, ""benign"": 3578, ""suspicious_path_probe"": 4}"
hardneg70,70,261,"{""benign"": 210, ""suspicious_path_probe"": 37, ""command_exec"": 14}",0.9245283018867925,0.9795918367346939,0.6944444444444444,0.3055555555555556,0.0,0.0,"{""unknown"": 25000, ""benign"": 11000}",0.5529224017554358,0.4470775982445641,0.0,0.0,"{""unknown"": 13859, ""benign"": 11206}"
hardneg75,75,266,"{""benign"": 215, ""suspicious_path_probe"": 37, ""command_exec"": 14}",0.9074074074074074,0.9795918367346939,0.5555555555555556,0.4444444444444444,0.0,0.0,"{""unknown"": 20000, ""benign"": 16000}",0.509674845401955,0.4903251545980451,0.0,0.0,"{""unknown"": 12775, ""benign"": 12290}"
hardneg80,80,271,"{""benign"": 220, ""suspicious_path_probe"": 37, ""command_exec"": 14}",0.9636363636363636,0.9811320754716981,0.3055555555555556,0.5555555555555556,0.0,0.1388888888888889,"{""benign"": 20000, ""unknown"": 11000, ""suspicious_path_probe"": 5000}",0.31996808298424095,0.6299222022740874,0.0,0.050109714741671654,"{""benign"": 15789, ""unknown"": 8020, ""suspicious_path_probe"": 1256}"
hardneg90,90,281,"{""benign"": 230, ""suspicious_path_probe"": 37, ""command_exec"": 14}",0.8947368421052632,1.0,0.1388888888888889,0.7777777777777778,0.0,0.08333333333333333,"{""benign"": 28000, ""unknown"": 5000, ""suspicious_path_probe"": 3000}",0.1111111111111111,0.8854578096947935,0.0,0.0034310791940953523,"{""benign"": 22194, ""unknown"": 2785, ""suspicious_path_probe"": 86}"
