run_id,record_id,source_type,rule_hit,rule_name,rule_severity,rule_reason,anomaly_score,anomaly_threshold,anomaly_model,anomaly_version,is_anomaly,anomaly_reason,is_unknown,osr_method,osr_reason,osr_pred_label,osr_final_label,osr_max_prob,osr_prob_threshold,osr_distance,osr_distance_threshold,osr_reject_reason,final_label,stage,confidence,risk_score,raw_text,text,cluster_id,cluster_dist,pseudo_label,representative_rank
apache_log_access.log_20260420_153020,apache_247,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=1; cluster_size=128; cluster_normal=1; heuristic=special_tokens=7,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4853888154029846, ""dist_to_pred_centroid"": 6.245889663696289, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4853888154029846,0.5398888796567917,6.245889663696289,5.560724353790283,low_confidence+far_from_centroid,unknown,osr,0.4853888154029846,0.85,"24.144.22.33 - - [22/Oct/2021:11:22:20 -0700] ""GET / HTTP/1.1"" 200 13186 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/94.0.4606.76 Mobile/15E148 Safari/604.1"" ",METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1,2,0.004791374,unknown_cluster_02,1
apache_log_access.log_20260420_153020,apache_388,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=1; cluster_size=128; cluster_normal=1; heuristic=special_tokens=6,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4853888154029846, ""dist_to_pred_centroid"": 6.245889663696289, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4853888154029846,0.5398888796567917,6.245889663696289,5.560724353790283,low_confidence+far_from_centroid,unknown,osr,0.4853888154029846,0.85,"49.7.20.116 - - [22/Oct/2021:14:53:36 -0700] ""GET / HTTP/1.1"" 200 13148 ""-"" ""Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"" ",METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1,2,0.004791374,unknown_cluster_02,2
apache_log_access.log_20260420_153020,apache_530,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=1; cluster_size=128; cluster_normal=1; heuristic=special_tokens=6,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4853888154029846, ""dist_to_pred_centroid"": 6.245889663696289, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4853888154029846,0.5398888796567917,6.245889663696289,5.560724353790283,low_confidence+far_from_centroid,unknown,osr,0.4853888154029846,0.85,"49.7.20.116 - - [22/Oct/2021:21:06:13 -0700] ""GET / HTTP/1.1"" 200 13149 ""-"" ""Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"" ",METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1,2,0.004791374,unknown_cluster_02,3
apache_log_access.log_20260420_153020,apache_12,apache_log,0,,,no apache rule matched,0.78,0.68,webhawk_pca_dbscan,midterm-0.3,1,backend=webhawk_core; eps=0.1500; cluster=5; cluster_size=31; minority_cluster=1; heuristic=special_tokens=7,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4853888154029846, ""dist_to_pred_centroid"": 6.245889663696289, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4853888154029846,0.5398888796567917,6.245889663696289,5.560724353790283,low_confidence+far_from_centroid,unknown,osr,0.4853888154029846,0.85,"172.105.82.175 - - [22/Oct/2021:03:07:29 -0700] ""GET / HTTP/1.1"" 301 438 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Safari/605.1.15"" ",METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1,2,0.004791394,unknown_cluster_02,4
apache_log_access.log_20260420_153020,apache_14,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=1; cluster_size=128; cluster_normal=1; heuristic=special_tokens=6,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4853888154029846, ""dist_to_pred_centroid"": 6.245889663696289, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4853888154029846,0.5398888796567917,6.245889663696289,5.560724353790283,low_confidence+far_from_centroid,unknown,osr,0.4853888154029846,0.85,"20.109.115.205 - - [22/Oct/2021:03:13:32 -0700] ""GET / HTTP/1.1"" 200 13141 ""-"" ""awesome_bot"" ",METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1,2,0.004791394,unknown_cluster_02,5
apache_log_access.log_20260420_153020,apache_100,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=2; cluster_size=151; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.40573960542678833, ""dist_to_pred_centroid"": 5.318306922912598, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4057396054267883,0.5398888796567917,5.318306922912598,5.560724353790283,low_confidence,unknown,osr,0.4057396054267883,0.85,"51.222.253.3 - - [22/Oct/2021:06:13:13 -0700] ""GET /self.logs/error.log.2020-02-13.gz HTTP/1.1"" 200 835 ""-"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"" ",METHOD=GET PATH=/self.logs/error.log.2020-02-13.gz QUERY= PROTOCOL=HTTP/1.1,3,0.033951357,unknown_cluster_03,1
apache_log_access.log_20260420_153020,apache_90,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=2; cluster_size=151; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4233304262161255, ""dist_to_pred_centroid"": 5.261932373046875, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4233304262161255,0.5398888796567917,5.261932373046875,5.560724353790283,low_confidence,unknown,osr,0.4233304262161255,0.85,"51.222.253.4 - - [22/Oct/2021:05:56:50 -0700] ""GET /self.logs/error.log.2017-07-10.gz HTTP/1.1"" 200 690 ""-"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"" ",METHOD=GET PATH=/self.logs/error.log.2017-07-10.gz QUERY= PROTOCOL=HTTP/1.1,3,0.040465496,unknown_cluster_03,2
apache_log_access.log_20260420_153020,apache_363,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=2; cluster_size=151; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.42285406589508057, ""dist_to_pred_centroid"": 5.248202323913574, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4228540658950805,0.5398888796567917,5.248202323913574,5.560724353790283,low_confidence,unknown,osr,0.4228540658950805,0.85,"51.222.253.13 - - [22/Oct/2021:13:55:51 -0700] ""GET /self.logs/error.log.2021-10-03.gz HTTP/1.1"" 200 2645 ""-"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"" ",METHOD=GET PATH=/self.logs/error.log.2021-10-03.gz QUERY= PROTOCOL=HTTP/1.1,3,0.04129007,unknown_cluster_03,3
apache_log_access.log_20260420_153020,apache_79,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=2; cluster_size=151; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.424604207277298, ""dist_to_pred_centroid"": 5.257028579711914, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.424604207277298,0.5398888796567917,5.257028579711914,5.560724353790283,low_confidence,unknown,osr,0.424604207277298,0.85,"51.222.253.14 - - [22/Oct/2021:05:28:52 -0700] ""GET /self.logs/error.log.2021-06-17.gz HTTP/1.1"" 200 3777 ""-"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"" ",METHOD=GET PATH=/self.logs/error.log.2021-06-17.gz QUERY= PROTOCOL=HTTP/1.1,3,0.041770045,unknown_cluster_03,4
apache_log_access.log_20260420_153020,apache_367,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=2; cluster_size=151; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4219732880592346, ""dist_to_pred_centroid"": 5.207944869995117, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4219732880592346,0.5398888796567917,5.207944869995117,5.560724353790283,low_confidence,unknown,osr,0.4219732880592346,0.85,"51.222.253.17 - - [22/Oct/2021:13:59:49 -0700] ""GET /self.logs/error.log.2021-10-04.gz HTTP/1.1"" 200 1987 ""-"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"" ",METHOD=GET PATH=/self.logs/error.log.2021-10-04.gz QUERY= PROTOCOL=HTTP/1.1,3,0.041856036,unknown_cluster_03,5
