tag,hardneg_added,train_size,train_label_counts,internal_known_accept_rate,internal_known_accuracy_after_reject,external_known_unknown_rate,external_known_benign_rate,external_known_command_exec_rate,external_known_label_counts,external_unknown_unknown_rate,external_unknown_benign_rate,external_unknown_command_exec_rate,external_unknown_label_counts
hardneg0,0,191,"{""benign"": 140, ""suspicious_path_probe"": 37, ""command_exec"": 14}",0.8717948717948718,0.9705882352941176,0.9912222222222222,0.0,0.008777777777777778,"{""unknown"": 35684, ""command_exec"": 316}",0.9835627368841013,0.0,0.016437263115898663,"{""unknown"": 24653, ""command_exec"": 412}"
hardneg60,60,251,"{""benign"": 200, ""suspicious_path_probe"": 37, ""command_exec"": 14}",0.9215686274509803,1.0,0.9357777777777778,0.06422222222222222,0.0,"{""unknown"": 33688, ""benign"": 2312}",0.8570915619389587,0.14274885298224615,0.0,"{""unknown"": 21483, ""benign"": 3578, ""suspicious_path_probe"": 4}"
hardneg90,90,281,"{""benign"": 230, ""suspicious_path_probe"": 37, ""command_exec"": 14}",0.8947368421052632,1.0,0.1388888888888889,0.7777777777777778,0.0,"{""benign"": 28000, ""unknown"": 5000, ""suspicious_path_probe"": 3000}",0.1111111111111111,0.8854578096947935,0.0,"{""benign"": 22194, ""unknown"": 2785, ""suspicious_path_probe"": 86}"
hardneg120,120,311,"{""benign"": 260, ""suspicious_path_probe"": 37, ""command_exec"": 14}",0.9206349206349206,0.9655172413793104,0.25,0.75,0.0,"{""benign"": 27000, ""unknown"": 9000}",0.1348493915818871,0.8651506084181129,0.0,"{""benign"": 21685, ""unknown"": 3380}"
